,IRRs
157,0.13748583622486718
158,0.13748583622486718
159,0.15499658141317557
160,0.08275170386218982
161,0.09890931678410947
162,0.09890931678410947
163,0.1155960178593993
164,0.10138398350352118
165,0.11794296008639736
166,0.11794296008639736
167,0.1350396803688123
168,0.10138398350352118
169,0.11794296008639736
170,0.11794296008639736
171,0.1350396803688123
172,0.12052255482723973
173,0.13748583622486718
174,0.13748583622486718
175,0.15499658141317557
176,0.10439327096811889
177,0.12084065495781064
178,0.12084065495781064
179,0.13782907604631706
180,0.12341004420583183
181,0.14026618995957993
182,0.14026618995957993
183,0.15767297675751474
184,0.12341004420583183
185,0.14026618995957993
186,0.14026618995957993
187,0.15767297675751474
188,0.14294463045023387
189,0.160213210068188
190,0.160213210068188
191,0.1780414458973438
192,0.08616579742494684
193,0.10224556517852308
194,0.10224556517852308
195,0.11885604227092764
196,0.10471608278659154
197,0.12119935720356359
198,0.12119935720356359
199,0.1382219555599832
200,0.10471608278659154
201,0.12119935720356359
202,0.12119935720356359
203,0.1382219555599832
204,0.12377492949330472
205,0.14066459605815546
206,0.14066459605815546
207,0.15810326155562843
208,0.10772932185713613
209,0.12410091899538775
210,0.12410091899538775
211,0.14101511527681987
212,0.1266662020214314
213,0.1434486393641362
214,0.1434486393641362
215,0.16078323768867
216,0.1266662020214314
217,0.1434486393641362
218,0.1434486393641362
219,0.16078323768867
220,0.1461230985089234
221,0.16331999157837984
222,0.16331999157837984
223,0.18107802162686706
224,0.10772932185713613
225,0.12410091899538775
226,0.12410091899538775
227,0.14101511527681987
228,0.1266662020214314
229,0.1434486393641362
230,0.1434486393641362
231,0.16078323768867
232,0.1266662020214314
233,0.1434486393641362
234,0.1434486393641362
235,0.16078323768867
236,0.1461230985089234
237,0.16331999157837984
238,0.16331999157837984
239,0.18107802162686706
240,0.12985688188494718
241,0.14652141444492126
242,0.14652141444492126
243,0.16374153049563456
244,0.1491848016872768
245,0.16626847219276827
246,0.16626847219276827
247,0.1839165908200188
248,0.1491848016872768
249,0.16626847219276827
250,0.16626847219276827
251,0.1839165908200188
252,0.16904537110360665
253,0.18655087685584876
254,0.18655087685584876
255,0.20463121347591318
256,0.06539204724174054
257,0.08122883490663826
258,0.08122883490663826
259,0.09758537762760144
260,0.08361576742417226
261,0.09984891861169122
262,0.09984891861169122
263,0.1166090321292276
264,0.08361576742417226
265,0.09984891861169122
266,0.09984891861169122
267,0.1166090321292276
268,0.10233689764633801
269,0.11896809850592491
270,0.11896809850592491
271,0.13613500320195096
272,0.08647123714398863
273,0.1025981076090549
274,0.1025981076090549
275,0.11925509623297322
276,0.1050764810865755
277,0.12160565427589241
278,0.12160565427589241
279,0.13867358039199623
280,0.1050764810865755
281,0.12160565427589241
282,0.12160565427589241
283,0.13867358039199623
284,0.12418916302732576
285,0.14112354231525034
286,0.14112354231525034
287,0.15860637254324578
288,0.08647123714398863
289,0.1025981076090549
290,0.1025981076090549
291,0.11925509623297322
292,0.1050764810865755
293,0.12160565427589241
294,0.12160565427589241
295,0.13867358039199623
296,0.1050764810865755
297,0.12160565427589241
298,0.12160565427589241
299,0.13867358039199623
300,0.12418916302732576
301,0.14112354231525034
302,0.14112354231525034
303,0.15860637254324578
304,0.10810027705479618
305,0.1245172295608786
306,0.1245172295608786
307,0.1414762390252383
308,0.127090402360047
309,0.14391704346900522
310,0.14391704346900522
311,0.1612953240237085
312,0.127090402360047
313,0.14391704346900522
314,0.14391704346900522
315,0.1612953240237085
316,0.14659947781724053
317,0.1638394409857691
318,0.1638394409857691
319,0.1816400387891468
320,0.08991380440649284
321,0.10596181968531686
322,0.10596181968531686
323,0.12254159476500087
324,0.10843590142339098
325,0.1248883987867463
326,0.1248883987867463
327,0.14188124980457129
328,0.10843590142339098
329,0.1248883987867463
330,0.1248883987867463
331,0.14188124980457129
332,0.12746774653558574
333,0.14432757330242704
334,0.14432757330242704
335,0.16173740649220722
336,0.11146354531327167
337,0.12780374968133723
338,0.12780374968133723
339,0.14468759218186922
340,0.13037267804345995
341,0.14712468395061257
342,0.14712468395061257
343,0.1644298683776802
