,IRRs
200,0.11852843839694727
201,0.12046534226175658
202,0.12046534226175658
203,0.12258870714193205
204,0.12285423514125286
205,0.12496187472406188
206,0.12496187472406188
207,0.14041068328647027
208,0.12122917826547479
209,0.12315442314910971
210,0.12315442314910971
211,0.12526510047072834
212,0.1255346903999737
213,0.12762977099890999
214,0.12762977099890999
215,0.14298937603973289
216,0.1255346903999737
217,0.12762977099890999
218,0.12762977099890999
219,0.14298937603973289
220,0.1302288871070445
221,0.14546843400589016
222,0.14546843400589016
223,0.16309117085632785
224,0.12122917826547479
225,0.12315442314910971
226,0.12315442314910971
227,0.12526510047072834
228,0.1255346903999737
229,0.12762977099890999
230,0.12762977099890999
231,0.14298937603973289
232,0.1255346903999737
233,0.12762977099890999
234,0.12762977099890999
235,0.14298937603973289
236,0.1302288871070445
237,0.14546843400589016
238,0.14546843400589016
239,0.16309117085632785
240,0.12849334824832018
241,0.1305746123745184
242,0.1305746123745184
243,0.14583606049302483
244,0.1331634034800872
245,0.1483058487908397
246,0.1483058487908397
247,0.1658226752590658
248,0.1331634034800872
249,0.1483058487908397
250,0.1483058487908397
251,0.1658226752590658
252,0.15102015801802665
253,0.16839712969847156
254,0.16839712969847156
255,0.18633947035882667
256,0.10879874782525152
257,0.1104416312432602
258,0.1104416312432602
259,0.11224505925493045
260,0.11245210539238397
261,0.11424424779197888
262,0.11424424779197888
263,0.11621013201008544
264,0.11245210539238397
265,0.11424424779197888
266,0.11424424779197888
267,0.11621013201008544
268,0.11644345137771961
269,0.11839591963533634
270,0.11839591963533634
271,0.12053623247488954
272,0.11492317190315736
273,0.11670545986362933
274,0.11670545986362933
275,0.11866060725840394
276,0.1188974438053636
277,0.12083927446704724
278,0.12083927446704724
279,0.12296801192813901
280,0.1188974438053636
281,0.12083927446704724
282,0.12083927446704724
283,0.12296801192813901
284,0.12323501797286832
285,0.1253479618530133
286,0.1253479618530133
287,0.14083478356943216
288,0.11492317190315736
289,0.11670545986362933
290,0.11670545986362933
291,0.11866060725840394
292,0.1188974438053636
293,0.12083927446704724
294,0.12083927446704724
295,0.12296801192813901
296,0.1188974438053636
297,0.12083927446704724
298,0.12083927446704724
299,0.12296801192813901
300,0.12323501797286832
301,0.1253479618530133
302,0.1253479618530133
303,0.14083478356943216
304,0.1216068610773235
305,0.12353698123686446
306,0.12353698123686446
307,0.1256529752290533
308,0.12592406370776943
