,0,1,2,3,4,5,6,7,8,9,10
59,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.15001,1.20752,1.14714,1.2045,1.26472
60,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.15001,1.20752,1.26789,1.2045,1.14427
61,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.15001,1.20752,1.26789,1.2045,1.26472
62,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.15001,1.20752,1.26789,1.33129,1.26472
63,1.28065,1.21662,1.15579,1.098,1.0431,1.09525,1.15001,1.20752,1.26789,1.33129,1.39785
64,1.28065,1.21662,1.15579,1.098,1.1529,1.09525,1.04049,0.98847,0.93904,0.89209,0.84749
65,1.28065,1.21662,1.15579,1.098,1.1529,1.09525,1.04049,0.98847,0.93904,0.89209,0.93669
66,1.28065,1.21662,1.15579,1.098,1.1529,1.09525,1.04049,0.98847,0.93904,0.98599,0.93669
67,1.28065,1.21662,1.15579,1.098,1.1529,1.09525,1.04049,0.98847,0.93904,0.98599,1.03529
68,1.28065,1.21662,1.15579,1.098,1.1529,1.09525,1.04049,0.98847,1.03789,0.98599,0.93669
69,1.28065,1.21662,1.15579,1.098,1.1529,1.09525,1.04049,0.98847,1.03789,0.98599,1.03529
70,1.28065,1.21662,1.15579,1.098,1.1529,1.09525,1.04049,0.98847,1.03789,1.08978,1.03529
71,1.28065,1.21662,1.15579,1.098,1.1529,1.09525,1.04049,0.98847,1.03789,1.08978,1.14427
72,1.28065,1.21662,1.15579,1.098,1.1529,1.09525,1.04049,1.09251,1.03789,0.98599,0.93669
73,1.28065,1.21662,1.15579,1.098,1.1529,1.09525,1.04049,1.09251,1.03789,0.98599,1.03529
74,1.28065,1.21662,1.15579,1.098,1.1529,1.09525,1.04049,1.09251,1.03789,1.08978,1.03529
75,1.28065,1.21662,1.15579,1.098,1.1529,1.09525,1.04049,1.09251,1.03789,1.08978,1.14427
76,1.28065,1.21662,1.15579,1.098,1.1529,1.09525,1.04049,1.09251,1.14714,1.08978,1.03529
77,1.28065,1.21662,1.15579,1.098,1.1529,1.09525,1.04049,1.09251,1.14714,1.08978,1.14427
78,1.28065,1.21662,1.15579,1.098,1.1529,1.09525,1.04049,1.09251,1.14714,1.2045,1.14427
79,1.28065,1.21662,1.15579,1.098,1.1529,1.09525,1.04049,1.09251,1.14714,1.2045,1.26472
80,1.28065,1.21662,1.15579,1.098,1.1529,1.09525,1.15001,1.09251,1.03789,0.98599,0.93669
81,1.28065,1.21662,1.15579,1.098,1.1529,1.09525,1.15001,1.09251,1.03789,0.98599,1.03529
82,1.28065,1.21662,1.15579,1.098,1.1529,1.09525,1.15001,1.09251,1.03789,1.08978,1.03529
83,1.28065,1.21662,1.15579,1.098,1.1529,1.09525,1.15001,1.09251,1.03789,1.08978,1.14427
